# Schema: attribute_slot,attribute_label,standard_uom,allowed_values_or_pattern,is_required,provenance_rule,notes
# Status: [CONTROLLED SCHEMA] - Lighting & Electrical Lamps and Fixtures
# Category: Lighting & Electrical>Lamps & Fixtures
attribute_slot,attribute_label,standard_uom,allowed_values_or_pattern,is_required,provenance_rule,notes
1,Wattage,W,"65W, 60W, 100W, 12W, 15W, 10W, 8.5W, 40W, 75W, 50W, 4.5W, 65, 60, 100, 12, 15, 10, 8.5, 40, 75, 50",true,Manufacturer spec sheet / packaging,Power consumption rating in watts
2,Voltage Rating,V,"120, 277, 120-277, 12, 24, 208, 240",true,Manufacturer spec sheet,Operating input voltage
3,Bulb Shape,,"BR40, BR30, PAR38, PAR20, PAR30, A19, A21, T8, T5, MR16, Downlight, Troffer",true,Manufacturer catalog / ANSI standard,ANSI bulb shape designation
4,Base Type,,"Medium (E26), Mogul (E39), GU10, G13 Bi-Pin, E12 Candelabra, Recessed Direct Wire",true,Manufacturer catalog,Socket base type
5,Color Temperature (CCT),K,"2700K, 3000K, 3500K, 4000K, 5000K, 6500K, 27k, 30k, 35k, 40k, 50k, Warm White, Cool White, Daylight",true,Manufacturer packaging / spec,Correlated color temperature in Kelvin
6,Lumens / Brightness,lm,"450, 650, 800, 1100, 1400, 2000, 2600, 3200, 5000, 8000, 10000",false,Manufacturer packaging / photometric test,Light output lumen rating
7,Dimmable,,"Dimmable, Non-Dimmable, 0-10V Dimmable, Triac Dimmable",false,Manufacturer packaging / catalog,Dimmer switch compatibility
8,Color Rendering Index (CRI),,"80, 90, 95, 98, 80 CRI, 90 CRI",false,Manufacturer spec sheet,Color fidelity index
9,Average Rated Life,hr,"15000, 25000, 50000, 100000",false,Manufacturer testing data,L70 lumen maintenance life in hours
10,Certifications / Standards,,"ENERGY STAR, Title 24, UL Listed, cUL Listed, DLC Qualified, FCC, RoHS, ETL Listed",false,Manufacturer compliance labeling,Safety and energy qualification standards
