# Schema: raw_string,parenthetical_code,canonical_name,looks_like_distributor,inferred_brands,notes
# Source: Derived from all 76 distinct Part_Manuf values in /data/sample_input.csv
# Rule: Entries with looks_like_distributor=true require Part_Desc fallback for brand extraction per AGENTS.md
raw_string,parenthetical_code,canonical_name,looks_like_distributor,inferred_brands,notes
Phillips Lighting (5831),5831,Signify (Philips Lighting),false,"Philips, Signify",OEM lighting manufacturer
Milwaukee Accessory (4031),4031,Milwaukee Electric Tool Corp.,false,"Milwaukee, Milw",OEM power tool accessories and abrasives
Boise Cascade Building Materials (BOICA),BOICA,Boise Cascade,true,"Boise Cascade, LP SmartSide, Trex, Simpson Strong-Tie, LP, Simpson",Distributor / Wholesaler of building products
Appliance Dealers Cooperative (APPDE),APPDE,Appliance Dealers Cooperative,true,"Frigidaire, FRIGIDAIRE®, Whirlpool, Electrolux, GE Appliances, GE, Rheem, Café, Cafe, KitchenAid, LG, Bosch, Speed Queen, Maytag",Distributor / Buying cooperative for major appliances
Kichler Lighting (KICLI),KICLI,Kichler Lighting LLC,false,Kichler,OEM decorative and architectural lighting
Parksite (6151),6151,Parksite,true,"Azek, TimberTech, DuPont Tyvek, DuPont, Tyvek",Building materials distributor
Black & Decker/dewlt (2585),2585,Stanley Black & Decker,false,"DEWALT, Dewlt, Black & Decker",OEM power tools and accessories
Freud Inc (2435),2435,"Freud America, Inc.",false,"Diablo, Freud",OEM cutting tools and abrasives
U S Lumber (3073),3073,U.S. LUMBER Group,true,"Trex, Fiberon, TimberTech",Two-step wholesale building materials distributor
-,,Unspecified / Missing,false,,Null/placeholder value in raw distributor data
Satco Prod Inc (5573),5573,"Satco Products, Inc.",false,"Satco, Nuvo",OEM lighting and electrical manufacturer
Makita Usa Inc (5142),5142,"Makita U.S.A., Inc.",false,Makita,OEM industrial power tools and outdoor power equipment
Southwire/g Turner (6603),6603,Southwire Company,false,"Southwire, Garvin","OEM electrical wire, cable, and boxes"
Leviton Mfg Co (4927),4927,"Leviton Manufacturing Co., Inc.",false,Leviton,OEM electrical wiring devices and network solutions
Festool USA (FESTO),FESTO,Festool USA,false,Festool,OEM precision woodworking power tools
Tech Gear 5.7 Inc (TECGE),TECGE,Tech Gear 5.7 Inc.,false,"Mobile Warming, Fieldsheer, UTW Pro, Tech Gear",OEM heated apparel and work gear
Kreg Tool Company (KRETO),KRETO,Kreg Tool Company,false,Kreg,OEM woodworking joinery and cutting solutions
Edge Eyewear Inc (EDGSA),EDGSA,Wolf Peak International (Edge Eyewear),false,"Edge Eyewear",OEM safety eyewear
U S Tape Company (6694),6694,U.S. Tape Company,false,"U.S. Tape, DuraWheel, Stringliner, US Tape",OEM measuring and layout tools
Mirka Abrasives Inc (MIRUS),MIRUS,Mirka USA Inc.,false,"Mirka, Abranet, Hiolit",OEM surface finishing and abrasives
Palmer Donavin Mfg Company (PALDO),PALDO,Palmer-Donavin,true,"Owens Corning, Protecto Wrap, CertainTeed, OC",Wholesale building materials distributor
Hunter Fan Co (4381),4381,Hunter Fan Company,false,"Hunter, Casablanca",OEM ceiling fans and air purification
Premier Metals (PREME),PREME,Premier Metals,false,Premier Metals,OEM metal roofing and siding manufacturer
Jam Industrial Supply LLC (JAMIN),JAMIN,"Jam Industrial Supply, LLC",true,"3M, Scotch-Brite, Cubitron II, Cubitron, Stikit, Scotch, Milwaukee, Milw, Festool, Tyvek, Abranet, Paslode",Industrial distributor specializing in 3M tapes and abrasives
Vessel Tools USA Inc (VESTO),VESTO,Vessel Tools USA Inc.,false,Vessel,OEM fastening tools and bits
Oliver Machinery Company (OLIMA),OLIMA,Oliver Machinery,false,Oliver,OEM woodworking machinery
Prime Wire & Cable (3562),3562,"Prime Wire & Cable, Inc.",false,"Prime Wire & Cable, Prime Wire",OEM power cords and timers
Bow Products (BOWPR),BOWPR,Bow Products LLC,false,"Bow Products, GuidePRO, FeatherPRO, XTENDER, Bow",OEM woodworking safety and guidance tools
Saw Stop LLC (SAWST),SAWST,SawStop LLC,false,"SawStop, Saw Stop",OEM table saws with flesh-sensing safety technology
Rees Cast Stone Company (REECA),REECA,Rees Cast Stone Co.,false,"Rees, Spec Mix","OEM masonry, mortar, and architectural precast products"
United Window & Door Manufacturing (UNIWI),UNIWI,United Window & Door,false,"United Window & Door, United",OEM vinyl windows and patio doors
Westwood Lumber Sales (WESLU),WESLU,Westwood Lumber Sales,true,"Westwood, Doug Fir",Wholesale distributor of softwood lumber
Woodpeckers Inc (WOODP),WOODP,Woodpeckers LLC,false,"Woodpeckers, AutoScale, BigCal, Align-A-Saw",OEM precision woodworking layout and routing tools
Robt Bosch Tool Corp (6564),6564,Robert Bosch Tool Corporation,false,"Bosch, Dremel, RotoZip","OEM power tools, measuring lasers, and rotary accessories"
Velux America Inc (VELAM),VELAM,VELUX America LLC,false,"VELUX, Velux",OEM roof windows and skylights
Fenton Bros Electric Inc (FENBR),FENBR,Fenton Bros Electric,true,"Lutron, Leviton, Square D",Wholesale electrical distributor
Square D Con Prod Dv (6825),6825,Schneider Electric (Square D),false,"Square D, Homeline, QO, Schneider Electric",OEM circuit breakers and load centers
Whiteside Machine & Repair Co (WHIMA),WHIMA,Whiteside Machine Company,false,Whiteside,OEM router bits and CNC tooling
CMT USA Inc (CMTUS),CMTUS,"CMT USA, Inc. (CMT Orange Tools)",false,"CMT, CMT Orange Tools","OEM saw blades, router bits, and cutter heads"
JPW Industries (JPWIN),JPWIN,JPW Industries,false,"JET, Powermatic, Wilton, Baileigh, Jet",OEM industrial machinery and metal/woodworking tools
Wera Tools NA Inc (WERTO),WERTO,Wera Tools Inc.,false,"Wera, Kraftform, Zyklop, Hex-Plus","OEM screwdrivers, ratchets, and hex keys"
ProVia (PRODO),PRODO,ProVia LLC,false,"ProVia, ecoLitePlus","OEM exterior doors, windows, and vinyl siding"
Certainteed Gypsum (2765),2765,CertainTeed LLC (Saint-Gobain),false,"CertainTeed, Easi-Lite, Firelite","OEM gypsum board, insulation, and roofing"
Hager Hinge Co (4189),4189,Hager Companies,false,Hager,"OEM architectural door hardware, hinges, and thresholds"
Cooper Lighting (7638),7638,Cooper Lighting Solutions,false,"Halo, Metalux, Lumark, Cooper Lighting",OEM residential and commercial lighting
Feit Electric (3468),3468,Feit Electric Company,false,"Feit Electric, Feit","OEM LED bulbs, fixtures, and shop lights"
