# Schema: attribute_slot,attribute_label,standard_uom,allowed_values_or_pattern,is_required,provenance_rule,notes
# Status: [PROPOSED SCHEMA] - No ground-truth output rows exist for Abrasives; derived from sample_input.csv cluster analysis and industrial standards
# Category: Hardware & Tools>Abrasives & Cutting Wheels
attribute_slot,attribute_label,standard_uom,allowed_values_or_pattern,is_required,provenance_rule,notes
1,Diameter / Width,in,"1/2 in, 2 in, 3 in, 4-1/2 in, 5 in, 6 in, 7 in, 9 in, 12 in, 14 in, 1/2 in x 18 in, 2.75 in x 30 in",true,Manufacturer catalog / packaging,Outer diameter for discs or belt width x length
2,Grit / Grade,,"P24, P36, P40, P60, P80, P100, P120, P150, P180, P220, P240, P320, P400, P600, Coarse, Medium, Fine, Very Fine",true,Manufacturer packaging / catalog,CAMI/FEPA grit rating or grit grade
3,Arbor / Bore Size,in,"1/4 in, 3/8 in, 1/2 in, 5/8 in, 7/8 in, 20mm, 5/8-11 Threaded, Quick-Change TR/TS",true,Manufacturer packaging / dimensional spec,Center mounting hole diameter or arbor spindle thread
4,Abrasive Material,,"Ceramic Alumina, Cubitron II, Silicon Carbide, Aluminum Oxide, Zirconia Alumina, Diamond",true,Manufacturer spec sheet / catalog,Mineral grain formulation
5,Backing Type / Attachment,,"Hook & Loop, Stikit (PSA Adhesive), Film, Cloth (X-Weight / Y-Weight), Paper (C-Weight / D-Weight), Fiber, Mesh (Abranet)",true,Manufacturer spec sheet / packaging,Substrate backing and mounting mechanism
6,Maximum Speed,rpm,"3000, 6000, 8500, 10000, 12000, 13300, 15000",false,Manufacturer safety labeling / catalog,Maximum safe operating revolutions per minute
7,Thickness,in,".045 in, 1/16 in, 3/32 in, 1/8 in, 1/4 in",false,Manufacturer packaging / dimensional spec,Wheel/disc cut-off thickness
8,Wheel Type / Shape,,"Type 01 (Flat Cut-Off), Type 27 (Depressed Center), Type 29 (Conical Flap Disc), Sanding Belt, PSA Disc",false,Manufacturer catalog,ANSI / ISO abrasive tool form factor
9,Application / Target Material,,"Metal, Stainless Steel, Steel Demon, Cast Iron, Wood, Paint/Primer, Auto Body, Masonry, Multi-Purpose",false,Manufacturer packaging / marketing,Approved workpiece material compatibility
10,Package Quantity,pc,"1, 2, 5, 6, 10, 25, 50, 100",false,Distributor packaging / manufacturer SKU,Number of pieces per box/pack
